Size (Kb),Time (s),Throughput (Kb/s)
0.28,0.001715658,163.2026896
0.002,0.000852829,2.345136012
1.748,0.001021917,1710.510736
1.212,0.000877546,1381.12418
3.041,0.001353328,2247.05319
1.079,0.001083212,996.1115645
2.391,0.001073734,2226.808502
1.76,0.001046463,1681.855928
0.937,0.001074014,872.4281062
2.473,0.001048877,2357.759775
0.092,0.000757531,121.4471751
0.003,0.001216321,2.466454168
0.011,0.00179097,6.141923092
0.056,0.001072141,52.23193591
0.002,0.000964448,2.073725074
0.002,0.000966253,2.069851271
0.127,0.000942137,134.7999282
0.001,0.00102926,0.9715718089
0.598,0.001136962,525.9630489
3.575,0.001375149,2599.718285
0.001,0.000905568,1.104279303
0.035,0.000976762,35.83267981
1.469,0.000935575,1570.15739
0.001,0.000720652,1.387632311
0.003,0.000821701,3.650963063
0.004,0.000962926,4.154005604
0.001,0.000881713,1.134155899
0.001,0.000860825,1.161676299
0.004,0.000978696,4.08707096
0.704,0.00095452,737.5434773
0.004,0.000776176,5.153470347
4.402,0.001277776,3445.048271
1.558,0.001016406,1532.85203
0.013,0.000744035,17.47229633
0.858,0.001061782,808.0754807
0.329,0.000844734,389.4717154
7.995,0.00168457,4746.018272
0.001,0.000759745,1.316231104
0.008,0.00090681,8.822134736
0.124,0.000808226,153.4224338
0.003,0.000792436,3.785794689
0.736,0.001025974,717.3671068
0.147,0.000831589,176.770015
0.784,0.000827301,947.6599206
0.008,0.000744156,10.75043405
1.083,0.000856145,1264.972639
0.702,0.000838663,837.0465849
0.046,0.000766237,60.03364494
0.005,0.000827602,6.041551374
0.253,0.000727865,347.5919298
1.585,0.000982784,1612.765369
0.113,0.00077871,145.1117874
6.657,0.001435522,4637.337498
0.097,0.000978194,99.16233385
0.016,0.000731843,21.86261261
0.002,0.000843001,2.372476426
0.001,0.000728476,1.37272882
0.713,0.000895269,796.4086772
0.001,0.000690195,1.4488659
0.003,0.001039189,2.886866585
0.008,0.000720171,11.10847285
2.73,0.000968337,2819.266433
0.85,0.000810059,1049.306285
0.008,0.000764995,10.45758469
0.086,0.00075187,114.3814755
0.982,0.000905107,1084.954597
0.006,0.000764414,7.849149806
0.569,0.000807935,704.2645757
0.009,0.000787326,11.43109716
0.005,0.000784892,6.370303175
0.586,0.000825679,709.7189101
1.805,0.00095953,1881.129303
0.01,0.00074674,13.3915419
0.003,0.000792055,3.787615759
0.002,0.000863149,2.317097048
5.813,0.001223294,4751.923904
5.957,0.001395558,4268.543479
0.003,0.000875191,3.427823184
0.09,0.000747442,120.4106807
0.061,0.000801353,76.12125992
0.003,0.00077299,3.88103339
0.001,0.000765085,1.307044315
0.001,0.000853771,1.171274264
7.582,0.001430904,5298.748204
0.017,0.000825068,20.60436231
0.002,0.000929774,2.151060365
0.595,0.000949471,626.6647428
1.134,0.001000045,1133.948972
0.002,0.000806082,2.481137155
2.031,0.000913714,2222.796192
0.058,0.000841538,68.9214272
0.002,0.000845305,2.366009902
0.253,0.000992091,255.0169289
0.005,0.00078903,6.336894668
0.023,0.001024862,22.44204586
0.003,0.000829366,3.617220865
0.002,0.000797496,2.507849569
2.416,0.000998032,2420.764064
0.955,0.000918372,1039.88362
0.006,0.000901381,6.65645271
0.001,0.001143244,0.8747039127
0.003,0.001008973,2.973320396
0.003,0.000776196,3.865003169
0.002,0.000887485,2.253559215
0.167,0.000863459,193.408141
0.013,0.000769684,16.89004838
3.114,0.001464206,2126.749925
3.416,0.001384797,2466.787551
