Size (Kb),Time (s),Throughput (Kb/s)
0.03,0.000741964,40.43322857
0.016,0.000744157,21.5008392
0.064,0.000744258,85.99168568
0.022,0.000721364,30.49777921
0.039,0.000733336,53.18162479
0.016,0.000768723,20.81373915
0.019,0.000738327,25.73385505
0.064,0.000789002,81.11513025
0.032,0.000746752,42.85224546
0.019,0.000741042,25.63957239
0.055,0.000719211,76.47269021
0.046,0.000735911,62.50755866
0.024,0.000742083,32.34139577
0.02,0.000768012,26.04125977
0.018,0.000728778,24.69887949
0.064,0.000791005,80.90972876
0.024,0.000836491,28.69128299
0.018,0.000780836,23.05221583
0.027,0.000774905,34.84298075
0.064,0.000769545,83.16602668
0.026,0.000750709,34.63392606
0.021,0.000783972,26.78667095
0.029,0.000750188,38.65697665
0.02,0.000769595,25.98769483
0.019,0.000772761,24.58716214
0.022,0.000765367,28.74438015
0.017,0.000717747,23.68522613
0.048,0.000742915,64.61035246
0.034,0.000738447,46.04257313
0.017,0.000747032,22.7567226
0.02,0.0007619,26.25016406
0.036,0.000704753,51.08172651
0.085,0.000722637,117.6247549
0.041,0.000758404,54.0608963
0.048,0.00075091,63.92244077
0.05,0.00076148,65.66160635
0.021,0.000711536,29.51361561
0.02,0.000829938,24.09818565
0.029,0.000756821,38.31817563
0.019,0.000859514,22.10551544
0.02,0.000754567,26.50526726
0.025,0.000598022,41.80448211
0.026,0.000783491,33.18481004
0.049,0.000793109,61.78217622
0.022,0.000747914,29.41514666
0.022,0.000743375,29.59475366
0.02,0.000744077,26.8789386
0.02,0.000747534,26.75463591
0.033,0.000780115,42.30145555
0.016,0.000726724,22.01661153
0.027,0.000810291,33.32136233
0.05,0.000780535,64.05862645
0.025,0.000760317,32.88102199
0.022,0.000744999,29.53024098
0.052,0.000738496,70.41338071
0.021,0.000747824,28.08147372
0.023,0.000817976,28.1181844
0.064,0.000721354,88.72204216
0.022,0.000775686,28.36199184
0.025,0.000730822,34.20805613
0.063,0.000754997,83.44404017
0.032,0.000744167,43.00110056
0.02,0.000724931,27.58883259
0.038,0.000838103,45.34048918
0.022,0.000750038,29.33184719
0.035,0.000750069,46.66237373
0.034,0.000731674,46.46878255
0.024,0.000807196,29.73255566
0.024,0.000729429,32.90244835
0.024,0.000733938,32.70030984
0.122,0.000608653,200.4426167
0.022,0.000786176,27.98355585
0.098,0.000765868,127.9593873
