Size (Kb),Time (s),Throughput (Kb/s)
0.008,0.000738817,10.82812117
0.028,0.000720522,38.86071487
0.008,0.000748004,10.69512997
0.02,0.000738086,27.09711334
0.013,0.000720733,18.03719269
0.008,0.000749427,10.67482223
0.075,0.000753183,99.57739354
0.047,0.000730862,64.30762579
0.086,0.000712177,120.7564973
2.129,0.000893918,2381.650218
0.03,0.000773392,38.79016075
0.023,0.000789502,29.13228846
0.016,0.000770617,20.76258375
0.003,0.000783661,3.828185912
1.685,0.000883739,1906.67154
0.031,0.000756119,40.99883748
0.022,0.000707688,31.08714575
0.005,0.000703581,7.106502307
0.049,0.000722086,67.85895309
0.019,0.00076188,24.9383105
2.783,0.000899829,3092.809856
0.006,0.000721635,8.314452597
0.132,0.000748825,176.276166
0.045,0.00071908,62.57996329
2.018,0.000881675,2288.825247
0.146,0.000757682,192.6929767
0.003,0.000746632,4.018043695
0.068,0.000861647,78.91862909
0.045,0.000790884,56.89835678
0.004,0.000752562,5.31517669
0.01,0.00075636,13.22121741
0.028,0.000721404,38.81320314
0.033,0.000730531,45.17262101
0.009,0.000716244,12.56555029
0.005,0.000729289,6.855992617
0.013,0.000748114,17.37703077
0.011,0.000713239,15.42260028
0.026,0.000735781,35.33660152
0.03,0.000745199,40.25770298
0.018,0.000721324,24.95411216
0.004,0.000725812,5.511068982
0.006,0.000774844,7.743494174
0.095,0.000731252,129.9141746
2.637,0.000910629,2895.800595
0.026,0.000742243,35.02895952
0.017,0.00074554,22.80226413
0.008,0.000717667,11.14723124
0.081,0.000725161,111.699333
0.006,0.000766628,7.826481683
0.037,0.000711936,51.97096368
1.703,0.000898717,1894.923541
0.106,0.00072476,146.2553121
1.215,0.000818406,1484.593221
0.005,0.000744808,6.713139494
0.06,0.000781627,76.76295727
0.003,0.000745258,4.025451589
0.007,0.000791004,8.849512771
0.075,0.000748124,100.2507606
0.005,0.000765807,6.529060194
0.025,0.000746842,33.47428238
0.014,0.000741361,18.88418733
0.008,0.000711946,11.23680729
0.012,0.000689433,17.40560722
0.004,0.000752543,5.315310886
0.01,0.000595678,16.7875933
0.009,0.000728898,12.34740663
0.044,0.00071938,61.16377992
0.005,0.000723889,6.907136315
0.039,0.000717456,54.35873419
0.303,0.000731734,414.0848997
0.034,0.00072439,46.93604274
0.015,0.000703801,21.31284269
0.089,0.000749416,118.7591405
0.018,0.000749617,24.01226226
0.449,0.001317833,340.7108488
0.005,0.000875654,5.710017884
0.051,0.001319185,38.6602334
0.006,0.001243845,4.823752156
0.01,0.000806183,12.40413157
0.01,0.00088976,11.23898579
0.009,0.000708549,12.70201496
0.028,0.000814839,34.36261642
0.012,0.0012044,9.963467287
0.02,0.000894408,22.36115956
0.006,0.000947659,6.331391355
0.02,0.000872528,22.9219005
0.008,0.00092695,8.630454717
0.019,0.000966875,19.6509373
0.131,0.001073545,122.0256254
0.006,0.001074597,5.583488508
2.224,0.001125422,1976.147614
2.089,0.001004175,2080.314686
0.016,0.000916601,17.45579592
7.738,0.001800239,4298.318168
0.003,0.000971954,3.086565825
0.005,0.000886604,5.639496325
0.042,0.001036105,40.53643212
0.004,0.000788359,5.073830577
0.007,0.001147884,6.098177168
0.008,0.001194933,6.694936034
0.04,0.001118399,35.76541109
0.129,0.00112419,114.7492862
0.026,0.00123651,21.02692255
0.105,0.000894619,117.3683993
0.024,0.001112748,21.56822569
0.009,0.000778892,11.55487539
0.01,0.000913204,10.95045576
0.02,0.000818236,24.44282579
0.008,0.000886955,9.019623318
0.004,0.000846599,4.72478706
0.019,0.001016809,18.68590856
0.006,0.00092193,6.508086297
0.021,0.001066592,19.68887822
0.024,0.001058356,22.67667968
0.156,0.001122476,138.9784726
1.914,0.001064568,1797.912393
0.023,0.000811402,28.34599865
0.004,0.000874972,4.571574862
0.242,0.001185085,204.2047617
0.057,0.001047416,54.41963842
0.013,0.001008222,12.89398565
0.021,0.000912503,23.01362297
0.002,0.000922662,2.167641021
2.418,0.001088232,2221.952672
0.006,0.000884851,6.780802644
2.191,0.000993124,2206.169622
1.103,0.000885892,1245.072763
0.038,0.000806133,47.13862353
0.004,0.000877887,4.556395071
0.018,0.000879351,20.46964182
0.06,0.000886043,67.71680381
0.301,0.000941266,319.7820807
0.184,0.001078855,170.5511862
0.021,0.000960283,21.86855333
0.014,0.00082582,16.95284687
0.756,0.001116606,677.0517085
0.672,0.001365683,492.0614813
0.011,0.000932981,11.79016507
0.046,0.000745118,61.73518825
0.011,0.000746922,14.72710671
0.021,0.000882727,23.78991466
0.022,0.000971914,22.63574761
0.457,0.000882116,518.0724531
0.004,0.000836059,4.784351344
0.077,0.000790093,97.45688166
0.007,0.000791024,8.849289023
1.621,0.001302424,1244.602372
0.007,0.001004516,6.968530118
0.202,0.000873439,231.2697281
0.008,0.001214869,6.585072135
0.055,0.001163995,47.25106208
0.003,0.001032889,2.904474731
0.008,0.001211834,6.601564241
4.211,0.001260676,3340.27141
0.017,0.000901813,18.85091477
0.14,0.000802756,174.3991948
0.005,0.000780585,6.405452321
0.014,0.000837231,16.72178885
0.007,0.000807295,8.670931939
0.028,0.000763293,36.68316099
0.201,0.000801885,250.6593838
2.361,0.000995768,2371.034217
0.028,0.000854073,32.78408286
0.467,0.000819468,569.8819234
0.016,0.00080995,19.75430582
0.004,0.000880593,4.542393592
0.162,0.000840147,192.8233988
0.008,0.000756299,10.57782702
0.018,0.000781968,23.01884476
0.604,0.000859082,703.0760742
0.003,0.000713029,4.207402504
0.011,0.000737124,14.92286237
0.068,0.001123219,60.54028644
0.011,0.000869141,12.65617431
2.413,0.001000127,2412.693588
0.001,0.00096957,1.031385047
0.01,0.000840307,11.90041259
0.158,0.001337289,118.14948
0.037,0.001134429,32.61552728
0.015,0.001031716,14.53888473
0.015,0.000986912,15.19892351
0.014,0.000800092,17.49798773
0.038,0.000811813,46.80880942
0.001,0.000859904,1.162920512
0.084,0.001193179,70.40016628
0.544,0.001230339,442.1545607
0.036,0.00095402,37.73505797
0.009,0.001132536,7.946767255
0.115,0.000988635,116.3219995
0.013,0.000865735,15.01614235
1.018,0.000959039,1061.479252
0.006,0.001109242,5.409099187
0.102,0.00107638,94.76207287
0.024,0.001068736,22.45643452
0.015,0.000796185,18.8398425
0.01,0.000811262,12.32647406
0.005,0.000949542,5.265696515
0.004,0.001208748,3.309209198
0.013,0.00098564,13.18939978
0.039,0.001139067,34.23854786
2.179,0.001039471,2096.258578
0.072,0.000918724,78.36956474
0.022,0.000951045,23.13244904
0.055,0.001043288,52.71794557
0.172,0.001030284,166.94426
0.033,0.0011723,28.14979101
2.72,0.000988695,2751.101199
0.002,0.000812925,2.460251561
0.897,0.000846148,1060.098233
0.015,0.000813026,18.44959448
0.016,0.001027479,15.57209442
0.017,0.001074567,15.82032577
0.007,0.001125613,6.218833649
2.87,0.00127881,2244.273973
4.604,0.001086038,4239.262346
0.007,0.000944062,7.41476725
2.189,0.000936888,2336.458573
0.01,0.001313886,7.611010392
0.427,0.00107143,398.532802
1.656,0.000992092,1669.200034
0.036,0.001000337,35.98787209
0.013,0.000815511,15.94092538
0.002,0.000842171,2.374814616
0.035,0.001149537,30.44704085
0.01,0.001254916,7.968660851
0.004,0.000808648,4.946528032
0.008,0.000725091,11.03309791
0.004,0.000765367,5.226250936
0.063,0.000727245,86.6283027
0.1,0.000779724,128.2505092
0.023,0.000734548,31.31177268
0.716,0.000822313,870.7146792
0.007,0.00072471,9.659036028
0.005,0.000736793,6.786166535
0.017,0.000674045,25.22086804
0.038,0.000729189,52.11268958
0.265,0.000738826,358.6771446
0.832,0.000843152,986.7734406
1.629,0.000873159,1865.639591
0.204,0.000757342,269.3631147
0.223,0.000765917,291.1542635
0.024,0.000770927,31.13135226
0.004,0.000733055,5.456616489
0.025,0.000887756,28.16089106
0.039,0.000796746,48.94910047
0.146,0.000807326,180.8439218
0.558,0.000787799,708.3024985
0.009,0.000747713,12.03670392
0.005,0.000751621,6.652288853
0.004,0.000753264,5.310223242
0.04,0.000744637,53.7174489
0.106,0.000712117,148.8519443
0.235,0.000772349,304.2665945
0.02,0.000897995,22.27183893
0.01,0.000757752,13.19692987
1.024,0.000786306,1302.291983
0.104,0.000766308,135.7156652
0.004,0.000615866,6.494919349
0.004,0.000736392,5.431889537
0.191,0.000881685,216.6306561
0.04,0.000702528,56.9372324
0.005,0.000721073,6.934110693
0.057,0.000729159,78.1722505
0.014,0.000925306,15.13012992
0.002,0.000738416,2.708500358
0.054,0.000728798,74.09460509
0.006,0.000738617,8.123289878
0.023,0.000725111,31.7192816
0.004,0.000771588,5.184113802
0.028,0.000718408,38.97506709
0.002,0.000792026,2.525169628
0.026,0.0007518,34.58366587
0.053,0.000742764,71.35510068
