Size (Kb),Time (s),Throughput (Kb/s)
560.299,0.04167472,13444.57743
72.753,0.006362571,11434.52859
2970.767,0.22065527,13463.38567
1534.309,0.115299737,13307.13356
203.151,0.016317095,12450.19411
832.436,0.061918866,13443.98006
3027.308,0.21993577,13764.50952
5.291,0.001387624,3812.992569
2263.744,0.169281917,13372.62739
160.586,0.012645935,12698.62608
229.419,0.018373676,12486.28745
0.296,0.000827884,357.5380126
158.553,0.012730313,12454.76054
0.004,0.000900279,4.443067094
474.101,0.036935915,12835.77245
6.751,0.001581007,4270.06332
155.346,0.012159262,12775.93986
217.747,0.01706509,12759.79207
183.119,0.014608289,12535.28048
996.394,0.074488769,13376.43263
126.829,0.010305152,12307.33909
2.799,0.001073835,2606.545698
2541.003,0.186992087,13588.82635
0.002,0.001005498,1.989064125
0.178,0.000869862,204.6301597
388.866,0.028835792,13485.53215
0.872,0.001164175,749.0282818
1445.759,0.108243974,13356.48486
1515.666,0.113503386,13353.48709
1297.396,0.100716055,12881.7198
0.306,0.001240979,246.579515
406.718,0.030848961,13184.17175
1943.52,0.143631864,13531.25933
345.851,0.026465794,13067.84901
0.597,0.001091138,547.1351928
257.851,0.020389529,12646.24602
0.014,0.000784362,17.8489014
687.47,0.051681552,13302.03861
145.458,0.011655066,12480.23821
409.513,0.031558943,12976.13168
2232.276,0.16420616,13594.34993
712.105,0.054594389,13043.55655
455.076,0.034643072,13136.13296
524.023,0.04144045,12645.20535
1261.907,0.09451213,13351.79939
968.491,0.071768332,13494.68454
26.162,0.002890615,9050.669148
0.005,0.000782679,6.388315005
1098.029,0.083206221,13196.47722
2329.403,0.173674221,13412.48567
108.649,0.008984132,12093.43318
784.496,0.05986996,13103.33262
2836.313,0.210278524,13488.3627
1395.8,0.103197743,13525.4896
2.665,0.001059289,2515.838454
0.024,0.000778431,30.83124901
816.747,0.059971401,13618.94147
23.587,0.002794015,8441.973289
2.561,0.001030153,2486.038482
0.004,0.000766618,5.217722516
0.004,0.000767531,5.211515887
2.325,0.000997051,2331.876704
1083.822,0.079639787,13609.05197
219.941,0.0172944,12717.46924
8.665,0.001637724,5290.879293
0.023,0.000792778,29.01190497
0.02,0.00075626,26.44593129
1535.718,0.114657371,13393.97534
1692.505,0.12456113,13587.74603
763.824,0.056908512,13421.96401
83.31,0.007074237,11776.53505
0.238,0.000809479,294.0162747
637.464,0.046994053,13564.78021
0.004,0.000791035,5.056666266
40.496,0.004077323,9932.006858
110.249,0.009237368,11935.10965
183.616,0.014123468,13000.7729
0.008,0.000856668,9.338506866
0.021,0.000833003,25.20999324
678.493,0.050592758,13410.87197
0.002,0.000869993,2.298869071
0.007,0.000792698,8.830601313
2.216,0.00103895,2132.922662
2.069,0.00101217,2044.123023
0.002,0.000803027,2.490576282
1.331,0.00091619,1452.755433
101.802,0.008768748,11609.63914
191.986,0.014811019,12962.37619
19.063,0.002824391,6749.419609
615.861,0.045832533,13437.20191
377.316,0.028691512,13150.78829
0.008,0.000827764,9.66459039
202.539,0.016068369,12604.82629
984.939,0.074646975,13194.62711
787.457,0.059071853,13330.4943
239.376,0.019141167,12505.82057
185.435,0.014367015,12906.99564
1719.29,0.123319069,13941.80165
0.003,0.000833355,3.599906402
2254.351,0.167565856,13453.52242
0.004,0.00076715,5.214104152
738.864,0.054977758,13439.32577
0.015,0.000819138,18.31193279
44.748,0.005156468,8678.033103
553.932,0.040727512,13600.92902
1637.531,0.124035003,13202.16842
70.822,0.006304573,11233.43326
248.895,0.020458498,12165.84913
0.001,0.000849534,1.177115925
804.586,0.060287755,13345.76151
406.337,0.030557894,13297.28416
0.949,0.001461503,649.3315443
0.599,0.000861477,695.3174606
3.427,0.001316,2604.103343
0.003,0.000919325,3.263263808
705.549,0.053555239,13174.22932
0.911,0.000930737,978.7942244
0.007,0.000858782,8.151079086
460.51,0.035258958,13060.79437
1266.783,0.094449884,13412.22399
790.692,0.060882952,12987.08381
738.115,0.055346741,13336.19625
0.28,0.000903926,309.7598697
0.442,0.000857549,515.4224423
60.503,0.005441504,11118.80098
2185.674,0.159884419,13670.3377
268.592,0.021800097,12320.67912
937.792,0.069988562,13399.218
0.774,0.000903095,857.052691
1572.415,0.116421523,13506.22256
755.836,0.056770222,13313.95181
3.748,0.001267839,2956.211317
0.549,0.00086353,635.7625097
618.359,0.046684763,13245.41371
3.22,0.001239817,2597.157484
1077.799,0.080220066,13435.52871
167.103,0.013262212,12599.93431
0.001,0.000817354,1.223460092
4738.336,0.347479999,13636.28414
35.685,0.003515047,10152.06909
0.008,0.000828425,9.656879017
401.925,0.031520522,12751.21649
277.237,0.021499703,12894.92232
0.029,0.000823446,35.21785278
2673.08,0.193729453,13798.0052
286.563,0.022024257,13011.24483
0.004,0.00090579,4.416034622
4304.658,0.309717722,13898.6493
2517.464,0.184783142,13623.8835
2.089,0.001249856,1671.392544
787.445,0.061227719,12860.92333
2322.189,0.177306588,13097.02604
761.319,0.05609757,13571.33651
3524.981,0.24807264,14209.47106
206.959,0.016744027,12360.16879
1140.838,0.083175473,13716.03862
0.002,0.000797176,2.508856263
40.693,0.004046495,10056.35742
210.162,0.01607449,13074.25617
0.082,0.000790444,103.7391643
515.85,0.03828125,13475.26531
510.466,0.038675581,13198.66404
0.668,0.00085244,783.6328657
1493.236,0.108592538,13750.81592
0.312,0.000812024,384.2250968
1817.538,0.135693575,13394.42932
312.236,0.024178201,12913.94674
1413.05,0.103461337,13657.75894
0.001,0.000797366,1.25412922
1584.407,0.118791982,13337.65944
0.004,0.000857369,4.665435769
574.514,0.045390614,12657.11012
0.001,0.000923684,1.082621329
1836.787,0.140738453,13051.06715
0.003,0.000881444,3.403506065
0.78,0.000990279,787.6568119
212.285,0.016990639,12494.23285
0.009,0.000791385,11.37246726
0.606,0.00113477,534.0289222
0.001,0.00087397,1.144204034
320.621,0.024895396,12878.72665
1081.806,0.082080037,13179.89172
1029.658,0.089577609,11494.59124
686.139,0.05212826,13162.51492
1529.835,0.117018554,13073.43962
